country,date,rating
United States,2000-09-21,AAA
United States,1996-04-01,AAA
United States,1995-11-13,AAA
United States,1995-10-26,AAA
United States,1994-08-10,AAA
Uruguay,2012-04-24,BB+
Uruguay,2011-07-14,BB+
Uruguay,2010-07-27,BB
Uruguay,2009-07-13,BB-
Uruguay,2007-07-27,BB-
Uruguay,2006-05-24,B+
Uruguay,2005-03-07,B+
Uruguay,2004-03-29,B
Uruguay,2003-06-17,B-
Uruguay,2003-05-16,DDD
Uruguay,2003-04-10,C
Uruguay,2003-03-12,CCC-
Uruguay,2003-01-07,B-
Uruguay,2002-07-30,B
Uruguay,2002-05-28,B+
Uruguay,2002-03-13,BB+
Uruguay,2001-07-23,BBB-
Uruguay,2000-09-21,BBB-
Uruguay,2000-05-19,BBB-
Uruguay,1997-01-23,BBB-
Uruguay,1997-01-14,BB+
Uruguay,1995-10-26,BB+
Uruguay,1995-01-18,BB+
Venezuela,2012-04-04,B+
Venezuela,2008-12-16,B+
Venezuela,2007-10-18,BB-
Venezuela,2005-11-14,BB-
Venezuela,2004-09-20,B+
Venezuela,2003-06-23,B-
Venezuela,2003-01-10,CCC+
Venezuela,2002-06-28,B
Venezuela,2002-02-06,B+
Venezuela,2001-12-18,BB-
Venezuela,2000-09-21,BB-
Venezuela,2000-05-15,BB-
Venezuela,1999-09-02,BB-
Venezuela,1997-09-15,BB-
Vietnam,2010-07-28,B+
Vietnam,2010-03-11,BB-
Vietnam,2009-06-29,BB-
Vietnam,2008-05-29,BB-
Vietnam,2003-11-06,BB-
Vietnam,2002-06-11,BB-
Zambia,2012-03-01,B+
Zambia,2011-03-02,B+
